[marke] ['backwaren'] <- KATHI | Knusper-Häppchen
[wb] ['pfirsich'] <- Zuckeraprikosen* | je 350-g-Schale
[wb] ['pilze'] <- Champignon braun | 400 g Schale
[wb] ['pilze'] <- Getrocknete Pilze | Packung
[wb] ['pilze'] <- K-CLASSIC | Champignons
[wb] ['pilze'] <- Kulturchampignons braun | 250-g-Schale
[wb] ['pilze'] <- Weiße Champignons | Kl. I, je 400-g-Schale (1 kg = 3,98 €)
[wb] ['pizza', 'backwaren'] <- Dr. Oetker Ristorante Pizza oder Bistro Flammkuchen | 530 g – 780 g
[wb] ['pizza', 'backwaren'] <- Filled-Pizza-Donut | Stück
[wb] ['pizza'] <- GUSTAVO GUSTO Pizza Margherita* | je 410 g
[wb] ['pizza'] <- Ristorante Pizza Salame | 320-g-Packung
[wb] ['pizza'] <- Ristorante Pizza Speciale | 345-g-Packung
[wb] ['pizza'] <- Ristorante Pizza Tonno | 355-g-Packung
[wb] ['pizza'] <- SAN FABIO Mini Pizza | je 360 g
[wb] ['pizza'] <- SAN FABIO Steinofenpizza  | je 2 x 355 g
[wb] ['pizza'] <- SAN FABIO Steinofenpizza | je 3 x 300 g
[wb] ['pizza'] <- Wagner Backfrische Pizza | 350 g – 370 g
[wb] ['pommes', 'backwaren'] <- Pahmeyer Mini Reibekuchen oder Süßkartoffel Rösti | je 300-g-Schale (1 kg = 5,97 €)
[wb] ['pommes', 'gewürze'] <- Butcher‘s Wedges Kräuter | je 350-g-Schale (1 kg = 4,54 €)
[wb] ['pommes'] <- Butcher’s Jumbo Pommes Frites | je 700-g-Btl. (1 kg = 2,27 €)
[wb] ['protein/fitness'] <- Clear Whey | 300 g
[wb] ['protein/fitness'] <- Ehrmann High Protein Pancakes | 160 g
[wb] ['protein/fitness'] <- Layenberger High Protein Skyr | 200 g
[wb] ['protein/fitness'] <- PENNY READY Trinkmahlzeit | je 500 ml
[wb] ['protein/fitness'] <- Proteinriegel | 45 g
[wb] ['protein/fitness'] <- Trinkmahlzeiten | 500 ml
[wb] ['protein/fitness'] <- Whey Proteinpulver | 300 g
[wb] ['protein/fitness'] <- YFOOD | This is Food Trinkmahlzeit
[wb] ['pudding', 'protein/fitness'] <- Dr. Oetker High Protein Pudding Schoko oder Rote Grütze | je 400-g-Becher (1 kg = 4,98 €)
[wb] ['pudding', 'protein/fitness'] <- EHRMANN High Protein Pudding* | je 230 g
[wb] ['pudding', 'protein/fitness'] <- K-CLASSIC | High Protein Pudding
[wb] ['pudding'] <- ARTISAN CAKE | Dessert
[wb] ['pudding'] <- DR. OETKER Paula Pudding* | je 4 x 125 g
[wb] ['pudding'] <- DR. OETKER | Puddingpulver
[wb] ['pudding'] <- Dr. Oetker Götterspeise XXL Waldmeister | je 500-g-Becher (1 kg = 2,58 €)
[wb] ['pudding'] <- EHRMANN | Grand Dessert
[wb] ['pudding'] <- EHRMANN | Grand Dessert
[wb] ['pudding'] <- Ehrmann Grand Dessert | 190 g
[wb] ['pudding'] <- Müller Grießpudding | Himbeere, je 160-g-Becher (1 kg = 3,06 €)
[wb] ['pudding'] <- Oreo & Toblerone Mousse | 55 g – 60 g
[wb] ['pudding'] <- ZUM DORFKRUG | Pudding oder Grütze
[wb] ['pute', 'rind'] <- Puten-Ministeaks | 800-g-Packung
[wb] ['pute', 'rind'] <- Puten-Minutensteaks | 400 g
[wb] ['pute'] <- HEIDEMARK | Puten-Grillspieße
[wb] ['pute'] <- K-PURLAND | Puten-Unterkeule
[wb] ['pute'] <- Puten-Schnitzel | 500 g
[wb] ['quark'] <- EHRMANN Robby Fruchtquark | je 90 g
[wb] ['reis'] <- BEN'S ORIGINAL | Expressreis
[wb] ['reis'] <- Ben's Original Express-Reis | 220 g
[wb] ['rind', 'fisch'] <- Thunfisch-Steaks | 200-g-Packung
[wb] ['rind', 'tofu'] <- Vegane Steaks | 160-g-Packung
[wb] ['rind', 'wurst'] <- Schweine-Schnitzel, -Braten oder -Gulasch | aus dem Schinken, je 100-g-
[wb] ['rind'] <- Beinscheiben vom Rind | 700 g
[wb] ['rind'] <- Butcherʼs Angus XXL Irish Beef Burger Patties | feinstes irisches Rindfleisch, je 800-g-Pckg. (1 kg = 14,36 €)
[wb] ['rind'] <- Butcher’s Wagyu Beef Burger Patties | je 230-g-Pckg. (1 kg = 23,00 €)
[wb] ['rind'] <- DREISTERN Gulasch* | je 400 g
[wb] ['rind'] <- Gulasch gemischt | vom Rind und Schwein, je 500-g-Pckg. (1 kg = 13,32 €)
[wb] ['rind'] <- Hüftsteaks | 375-g-Packung
[wb] ['rind'] <- Irische Rinder-Hüftsteaks | mind. 15 Tage gereift, je 100-g-
[wb] ['rind'] <- Irischer Rinder-Braten | aus dem Bug, je 100-g-
[wb] ['rind'] <- Irisches Rinder-Roastbeef | pro 100 g
[wb] ['rind'] <- K-PURLAND | Filetsteak
[wb] ['rind'] <- Minutensteaks | 400-g-Packung
[wb] ['rind'] <- MÜHLENHOF Frische Rinder-Beinscheiben* | je 700-g-Packung
[wb] ['rind'] <- TULIP | Corned Beef
[wb] ['saft', 'schoten/hülsen'] <- Schweinefiletspieß | mit Zuckerschoten und Yuzusaft, je 100-g-
[wb] ['saft'] <- Albi Saft oder Nektar | 1 l
[wb] ['saft'] <- DROP | Weinschorle
[wb] ['saft'] <- GEROLSTEINER Apfelschorle* | je 0,75 I
[wb] ['saft'] <- INNOCENT | Orangensaft
[wb] ['saft'] <- Innocent Direktsaft | versch. Sorten, je 900-ml-Fl. (1 l = 2,99 €), zzgl. 0,25 € Pfand
[wb] ['saft'] <- VALENSINA | Fruchtsaft
[wb] ['saft'] <- Valensina Saft | versch. Sorten, aus Fruchtsaft- konzentrat, je 1-l-Fl., zzgl. 0,25 € Pfand
[wb] ['saft'] <- ja! Apfelsaftschorle | je 0,5-l-Fl. (1 l = 0,78 €), zzgl. 0,25 € Pfand
[wb] ['sahne', 'gurke', 'zwiebeln', 'äpfel', 'fisch'] <- Nadler Sahne Heringsfilets | mit Zwiebel, Gurke und Apfel, je 380-g-Becher (1 kg = 6,55 €)
[wb] ['sahne'] <- COPPENRATH & WIESE | Feinste Sahne
[wb] ['sahne'] <- Crème fraîche | 200 g
[wb] ['sahne'] <- Kochsahne | 200-g-Packung
[wb] ['salat', 'fisch'] <- SAUPIQUET Thunfisch-Salat* | je 160 g
[wb] ['salat', 'fisch'] <- Saupiquet Thunfisch-Salat | Mexicana, je 160-g-Dosen-Pckg. (1 kg = 15,56 €)
[wb] ['salat', 'protein/fitness'] <- Salat High Protein Hähnchensalat | versch. Sorten, je 310-g-Schale (1 kg = 7,39 €)
[wb] ['salat'] <- Bio Rucola | Kl. II, je 80-g-Schale (1 kg = 11,00 €)
[wb] ['salat'] <- Bohnensalat | je 100-g-
[wb] ['salat'] <- Mini-Romanasalat | 2er Beutel
[wb] ['salat'] <- PENNY READY Beilagensalat | je 400 g
[wb] ['salat'] <- POPP | Feinkostsalat
[wb] ['salat'] <- Romana Salatherzen | Kl. I, je 3-St.-Pckg.
[wb] ['salat'] <- Rucola | 125-g-Schale
[wb] ['schokolade', 'kekse'] <- REWE Bio Hafer Cookies | Milchschokolade, je 300-g-Pckg. (1 kg = 10,97 €)
[wb] ['schokolade'] <- Amicelli | 200-g-Packung
[wb] ['schokolade'] <- Chupa Chups Lollipops The Best of | je 120-g-Btl. (1 kg = 10,75 €)
[wb] ['schokolade'] <- DICKMANN’S Tiramisu* | je 168 g
[wb] ['schokolade'] <- FERRERO Kinder Schokolade* | je 300 g
[wb] ['schokolade'] <- Hanuta Minis | 220 g
[wb] ['schokolade'] <- KATJES | Fruchtgummis oder Lakritze
[wb] ['schokolade'] <- Konfekties / Lakritz-Schnecken | Beutel
[wb] ['schokolade'] <- LINDT | Lindor Schokolade
[wb] ['schokolade'] <- MENTOS | Kaubonbons
[wb] ['schokolade'] <- MILKA | Schokolade
[wb] ['schokolade'] <- Mentos Mint Kaubonbons | je 3 x 38-g-Pckg. (1 kg = 11,32 €)
[wb] ['schokolade'] <- Milka Schokolade | versch. Sorten, je 90-g-Tafel (1 kg = 11,00 €)
[wb] ['schokolade'] <- Ritter Sport Schokolade Nussklasse | versch. Sorten, je 100-g-Tafel (1 kg = 16,90 €)
[wb] ['schokolade'] <- SCHOGETTEN Schokolade | je 100 g
[wb] ['schokolade'] <- Tafelschokolade | Tafel
[wb] ['schoten/hülsen'] <- Edamame | Packung
[wb] ['schoten/hülsen'] <- Kaiserschoten | Ursprung: siehe Etikett, Kl. I, je 200-g-Pckg. (1 kg = 11,10 €)
[wb] ['schwein', 'rind'] <- Kalbs-Steaks | aus dem Rücken, je 100-g-
[wb] ['schwein', 'rind'] <- MÜHLENHOF Frische Schweine-Nackensteaks | je 500-g-Packung
[wb] ['schwein', 'rind'] <- Schweine-Nackensteaks | 450 g
[wb] ['schwein', 'rind'] <- Schweine-Nackensteaks | 600 g
[wb] ['schwein'] <- Axel Schulz Cowboy Spare Ribs | SB-verpackt, je 1-kg-
[wb] ['schwein'] <- Duroc Schweine-Rücken | ohne Knochen, je 100-g-
[wb] ['schwein'] <- Frischer Schweinebraten* | je kg
[wb] ['schwein'] <- Jägerschnitzel | 360 g
[wb] ['schwein'] <- K-PURLAND WERTSCHÄTZE | Schweinekotelett
[wb] ['schwein'] <- K-PURLAND | Schweinerücken
[wb] ['schwein'] <- Schweine-Kotelett | 700 g
[wb] ['schwein'] <- Schweine-Nuggets | 1 kg
[wb] ['schwein'] <- Schweine-Rücken | pro kg
[wb] ['schwein'] <- Schweineschnitte „Cordon-bleu-Art“ XXL | 750-g-Packung
[wb] ['schwein'] <- Spare Ribs | z. B. 650 g
[wb] ['schwein'] <- Steinhaus Mein Krustenbauch | je 100-g-
[wb] ['schwein'] <- TÖNNIES Frische Schweine-Schälrippchen* | je kg
[wb] ['soßen', 'gewürze'] <- ORTO MIO Antipasticreme Dattel-Curry-Dip  | je 150 g
[wb] ['soßen'] <- APOSTELS | Zaziki
[wb] ['soßen'] <- BARILLA Pastasauce | je 400 g
[wb] ['soßen'] <- BARILLA Pesto* | je 190 g
[wb] ['soßen'] <- Ben's Original Sauce | 395 g – 400 g
[wb] ['soßen'] <- DEVELEY FOODTRIP Sauce | je 300 ml
[wb] ['soßen'] <- Dr. Oetker Bourbon-Vanille Soße | je 250-ml-Becher (1 l = 5,16 €)
[wb] ['soßen'] <- Feinkost Saucen | 300 ml
[wb] ['soßen'] <- Focaccia Farcita Pesto
[wb] ['soßen'] <- Followfood Pesto Alla Genovese | Biologico, je 130-g-Glas (1 kg = 13,77 €)
[wb] ['soßen'] <- Followfood Pomodoro Classico | Bio Tomatensauce, je 340-g-Glas (1 kg = 5,26 €)
[wb] ['soßen'] <- HELLMANN'S | Mayonnaise
[wb] ['soßen'] <- HELLMANN'S | Sauce
[wb] ['soßen'] <- HOMANN Dip* | je 150 g
[wb] ['soßen'] <- K-CLASSIC | Ajvar
[wb] ['soßen'] <- KNORR Schlemmersauce* | je 3 x 250 ml
[wb] ['soßen'] <- KÜHNE | Mittelscharfer Senf
[wb] ['soßen'] <- MAGGI | Sauce zu Braten
[wb] ['soßen'] <- Maille Dijon-Senf | 200 ml
[wb] ['soßen'] <- Mediterraner Dip | 200-g-Becher
[wb] ['soßen'] <- SAN FABIO Tomatensauce | je 380 ml
[wb] ['soßen'] <- Soja-Sauce XXL | 1-L-Flasche
[wb] ['soßen'] <- Sriracha Sauce | 250-ml-Flasche
[wb] ['soßen'] <- Wok-Sauce | 200-g-Beutel
[wb] ['spirituosen'] <- Aperol Aperitif Bitter | 11% Vol., je 0,7-l-Fl. (1 l = 13,56 €)
[wb] ['spirituosen'] <- Arktis Premium Vodka | 0,5 l
[wb] ['spirituosen'] <- BALLANTINE'S | Finest Blended Scotch Whisky
[wb] ['spirituosen'] <- BALLANTINE’S Finest Blended Scotch Whisky* | je 0,7 l
[wb] ['spirituosen'] <- BECHEROVKA Kräuterlikör* | je 0,7 l
[wb] ['spirituosen'] <- BOMBAY | Sapphire London Dry Gin oder
[wb] ['spirituosen'] <- BOTUCAL | Reserva Exclusiva Rum
[wb] ['spirituosen'] <- Bittergetränk | 1,25-L-Flasche
[wb] ['spirituosen'] <- CAMPARI | Bitter
[wb] ['spirituosen'] <- CINZANO | Asti
[wb] ['spirituosen'] <- ECHTER NORDHÄUSER Doppelkorn | je 0,7 I
[wb] ['spirituosen'] <- ECHTER NORDHÄUSER | Doppelkorn
[wb] ['spirituosen'] <- Erdbeerlimes | 0,7-L-Flasche
[wb] ['spirituosen'] <- Fernet Branca Kräuterlikör | 35% Vol., je 0,7-l-Fl. (1 l = 18,56 €)
[wb] ['spirituosen'] <- GORBATSCHOW | Wodka Original oder Citron
[wb] ['spirituosen'] <- GORBATSCHOW | Wodka Original oder Citron
[wb] ['spirituosen'] <- Irischer Sahnelikör | Flasche
[wb] ['spirituosen'] <- Irish Whiskey / Berry | 0,7-L-Flasche
[wb] ['spirituosen'] <- Jameson Irish Whiskey | 40% Vol., je 0,7-l-Fl. (1 l = 21,41 €)
[wb] ['spirituosen'] <- JÄGERMEISTER | Kräuterlikör
[wb] ['spirituosen'] <- Jägermeister Kräuterlikör | 0,7 Liter
[wb] ['spirituosen'] <- London Bittergetränke | 1 l
[wb] ['spirituosen'] <- METAXA | 7 Sterne
[wb] ['spirituosen'] <- Malibu Kokoslikör | 18% Vol., je 0,7-l-Fl. (1 l = 14,27 €)
[wb] ['spirituosen'] <- Mangaroca Batida de Côco | 0,7 l
[wb] ['spirituosen'] <- Martini Bianco Wermut | 14,5% Vol. oder Vibrante Aperitif alkoholfrei, je 0,75-l-Fl. (1 l = 10,65 €)
[wb] ['spirituosen'] <- Nordbrand Nordhausen Cocktails | 0,7 l
[wb] ['spirituosen'] <- OUZO 12 oder GOLD 12 | Anisspirituose oder -likör
[wb] ['spirituosen'] <- Osborne Veterano Solera | 0,7 l
[wb] ['spirituosen'] <- Ouzo 12 | 38% Vol., je 0,7-l-Fl. (1 l = 14,27 €)
[wb] ['spirituosen'] <- PIRCHER | Edelbrand
[wb] ['spirituosen'] <- Ready to Drink Jack Daniels oder Jim Beam | 0,33 l
[wb] ['spirituosen'] <- Ready to Drink Jack Daniels oder Jim Beam² | 6 x 0,33 l
[wb] ['spirituosen'] <- SANDEMAN | Sherry
[wb] ['spirituosen'] <- THREE SIXTY Vodka* | je 0,7 I
[wb] ['spirituosen'] <- Tanqueray London Dry Gin | 43,1% Vol. oder 0,0% Alkoholfrei, je 0,7-l-Fl. (1 l = 22,84 €)
[wb] ['spirituosen'] <- Vodka | 0,7-L-Flasche
[wb] ['spirituosen'] <- Zubrowka Biala Vodka | 37,5% Vol., je 0,7-l-Fl. (1 l = 11,41 €)
[wb] ['tee'] <- Bio-Matcha-Latte | 250-ml-Flasche
[wb] ['tee'] <- Ländertee | Packung
[wb] ['tee'] <- Matcha Latte | 84-g-Packung
[wb] ['tee'] <- Tee | 1,5-L-Flasche
[wb] ['tiefkühlgemüse'] <- BONDUELLE Erbsen & Möhrchen | je 400 g
[wb] ['tiefkühlgemüse'] <- GREENLAND Erbsen | 12 x 280 g
[wb] ['tiefkühlgemüse'] <- Gemüse | 1 kg
[wb] ['tiefkühlgemüse'] <- Gemüse | 4x212-ml-Dose
[wb] ['tiefkühlgemüse'] <- K-CLASSIC | Junge Erbsen
[wb] ['tiefkühlgemüse'] <- Rahmspinat | 750-g-Packung
[wb] ['tiefkühlgemüse'] <- Suppengemüse | 500 g Schale
[wb] ['tiefkühlgemüse'] <- Wok-Gemüse | 580-ml-Dose
[wb] ['tofu', 'margarine'] <- RAMA | Cremefine oder vegane Creme
[wb] ['tofu'] <- Falafel / Gemüsebällchen XXL | 220-g-Packung
[wb] ['tofu'] <- Garden Gourmet Vegetarische Gemüsebällchen | je 200-g-Pckg. (1 kg = 12,45 €)
[wb] ['tomaten', 'soßen'] <- WERDER Tomaten Ketchup | je 450 ml
[wb] ['tomaten'] <- BEST MOMENTS Deutsche Mini-Cherry-Rispentomaten | je 300-g-Packung
[wb] ['tomaten'] <- Mini Roma Rispentomaten | »Aromatica«, Kl. I, je 250-g-Schale (1 kg = 7,16 €)
[wb] ['tomaten'] <- Mutti Passata Tomaten "Gold - Limited Edition" | 400 g
[wb] ['tomaten'] <- Rispentomaten | 1 kg
[wb] ['tomaten'] <- Romatomaten | 500-g-Schale
[wb] ['tomaten'] <- SAN FABIO Tomaten geschält | je 400 g
[wb] ['tomaten'] <- Snacktomaten-Mix | je 300-g-Schale
[wb] ['tomaten'] <- Tomaten | 500 g Schale
[wb] ['trauben', 'bier'] <- Tafeltrauben dunkel | 400-g-Schale
[wb] ['trauben', 'bier'] <- Trauben dunkel | 500 g Schale
[wb] ['trauben'] <- Helle Tafeltrauben | Sorte: siehe Etikett, Kl. I, je 500-g-Schale (1 kg = 3,38 €)
[wb] ['trauben'] <- Kernloser Tafeltrauben-Mix | je 500-g-Schale
[wb] ['wasser'] <- Bad Liebenwerda Mineralwasser | versch. Sorten, je 12 x 0,75-l-Fl.-Kasten (1 l = 0,64 €), zzgl. 3,30 € Pfand
[wb] ['wasser'] <- Christinen Natürliches Mineralwasser Bio | versch. Sorten, je 12 x 0,75-l-Fl.-Kasten (1 l = 0,67 €), zzgl. 3,30 € Pfand
[wb] ['wasser'] <- GEROLSTEINER Mineralwasser | je 1,5 l
[wb] ['wasser'] <- Gerolsteiner Mineralwasser oder Nearwater | 2 x 1,5 l
[wb] ['wasser'] <- Gerolsteiner Mineralwasser | versch. Sorten, je 12 x 1-l-Fl.-Kasten (1 l = 0,71 €), zzgl. 3,30 € Pfand
[wb] ['wasser'] <- Mineralwasser | 6 x 1 l
[wb] ['wasser'] <- Oppacher Mineralwasser | 12 x 1 l
[wb] ['wasser'] <- Vita Coco Kokosnusswasser | versch. Sorten, je 1-l-Pckg.
[wb] ['wasser'] <- Vitaminwasser | 0,5 l
[wb] ['wasser'] <- Volvic Mineralwasser | Naturelle, je 6 x 1,5-l-Fl.-Pckg. (1 l = 0,50 €), zzgl. 1,50 € Pfand
[wb] ['wein'] <- ALLURE | Pinot Grigio oder Merlot Rosé
[wb] ['wein'] <- BARON PHILIPPE DE ROTHSCHILD | Bordeaux AOC
[wb] ['wein'] <- Baron Philippe de Rothschild Bordeaux Rouge AOP | 0,75 l
[wb] ['wein'] <- Blanc | 0,75-L-Flasche
[wb] ['wein'] <- Blanchet Cabernet Sauvignon Merlot oder Chardonnay Colombard | 0,75 l
[wb] ['wein'] <- Bree Chardonnay oder Pinot Noir Rose | 0,75 l
[wb] ['wein'] <- CAVINO | Imiglykos
[wb] ['wein'] <- CECCHI | Chianti Classico DOCG
[wb] ['wein'] <- Calvet Crémant de Bordeaux | 0,75 l
[wb] ['wein'] <- DOPPIO PASSO | Primitivo Rosato IGT
[wb] ['wein'] <- FRANCOIS DULAC | Rot- oder Roséwein
[wb] ['wein'] <- FRIZZADE | Weinhaltiges Getränk
[wb] ['wein'] <- Fruchtsecco | 0,75-L-Flasche
[wb] ['wein'] <- GELDERMANN | Rosé Sekt
[wb] ['wein'] <- Grand Sud Weine | 1 l
[wb] ['wein'] <- Grillo Chardonnay Sicilia DOC | 0,75-L-Flasche
[wb] ['wein'] <- HENKELL | Piccolo-Sekt
[wb] ['wein'] <- LANDLUST | Bio-Qualitätswein
[wb] ['wein'] <- LENZ MOSER | Selection Blauer Zweigelt
[wb] ['wein'] <- LIEBLINGSWEIN | Qualitätswein
[wb] ['wein'] <- Lil Rosé Wild Berry | 0,2-L-Dose
[wb] ['wein'] <- MM Extra Sekt* | je 0,75 l
[wb] ['wein'] <- NEDERBURG | Cabernet Sauvignon oder Sauvignon Blanc
[wb] ['wein'] <- NOVANTACEPPI | Primitivo, Primitivo Rosato oder Pinot Grigio
[wb] ['wein'] <- Primitivo Susumaniello Salento IGT | 0,75-L-Flasche
[wb] ['wein'] <- ROTKÄPPCHEN | Sekt
[wb] ['wein'] <- ROTKÄPPCHEN | Sekt
[wb] ['wein'] <- ROTWILD | Dornfelder oder Riesling
[wb] ['wein'] <- Rotkäppchen Sekt oder Aperitivo | versch. Sorten, je 0,75-l-Fl. (1 l = 4,39 €)
[wb] ['wein'] <- Torre Santa Weine | 3 x 0,75 l
[wb] ['wein'] <- WINE & VIBES | Qualitätswein
[wb] ['wein'] <- WZG MÖGLINGEN | Württemberger Rebsortenwein
[wb] ['wein'] <- ZONIN | Prosecco DOC
[wb] ['windeln/hygiene'] <- COTTONELLE | Feuchtes Toilettenpapier
[wb] ['windeln/hygiene'] <- Duschgel | 250-ml-Flasche
[wb] ['windeln/hygiene'] <- Garnier Wahre Schätze Shampoo oder Spülung | 200 ml – 250 ml
[wb] ['windeln/hygiene'] <- Gliss Shampoo oder Spülung | 200 ml – 250 ml
[wb] ['windeln/hygiene'] <- HAKLE | Toilettenpapier Traumweich
[wb] ['windeln/hygiene'] <- K-CLASSIC | Taschentücher
[wb] ['windeln/hygiene'] <- L'ORÉAL PARIS | Elvital Shampoo oder Spülung
[wb] ['windeln/hygiene'] <- L'ORÉAL PARIS | Elvital Shampoo oder Spülung
[wb] ['windeln/hygiene'] <- L'ORÉAL PARIS | Men Expert Deodorant
[wb] ['windeln/hygiene'] <- LENOR All in 1 Color Pods* | je 1.639 g
[wb] ['windeln/hygiene'] <- LENOR Waschmittel* | je 4,5 kg
[wb] ['windeln/hygiene'] <- LENOR | Voll- oder Colorwaschmittel XXL
[wb] ['windeln/hygiene'] <- LENOR | Voll- oder Colorwaschmittel XXL
[wb] ['windeln/hygiene'] <- Lenor Weichspüler | 798 ml
[wb] ['windeln/hygiene'] <- NIVEA | Deo-Spray
[wb] ['windeln/hygiene'] <- PERSIL | Voll- oder Colorwaschmittel
[wb] ['windeln/hygiene'] <- Reispapier | 250-g-Packung
[wb] ['windeln/hygiene'] <- Spee Waschmittel | 16 - 20 / WL
[wb] ['windeln/hygiene'] <- Sunil Waschmittel | 90 Waschladungen
[wb] ['windeln/hygiene'] <- Toilettenpapier | 20 x 200 Blatt
[wb] ['wurst', 'fisch'] <- Lachs- oder Landschinken | 60 g – 70 g
[wb] ['wurst', 'tofu'] <- Rügenwalder Vegane Mühlen Salami oder Veganer Schinken Spicker Mortadella | je 80-g-Pckg. (1 kg = 13,88 €)
[wb] ['wurst'] <- BERLINKI | Brühwürstchen
[wb] ['wurst'] <- Bockwurst | 1000 g
[wb] ['wurst'] <- Cabanossi | 300 g
[wb] ['wurst'] <- Chipolata | 330 g
[wb] ['wurst'] <- Currywurst oder Currykrakauer | 220 g
[wb] ['wurst'] <- DIE THÜRINGER Original Thüringer Knackwurst* | je 250 g
[wb] ['wurst'] <- DREISTERN Sülze* | je 220 g
[wb] ['wurst'] <- Duroc Serrano-Schinken | 18 Monate gereift, je 100-g-
[wb] ['wurst'] <- EBERSWALDER Bockwurst* | je 800 g
[wb] ['wurst'] <- Eberswalder Würstchen | 200 g
[wb] ['wurst'] <- Edelsalami | 150 g
[wb] ['wurst'] <- GUTFRIED Geflügelaufschnitt  | je 80 g
[wb] ['wurst'] <- Gutfried Geflügel-Aufschnitt | versch. Sorten, je 100-g-
[wb] ['wurst'] <- HAGEN FEINKOST Fleischwurst* | je 750 g
[wb] ['wurst'] <- HEIDEGRUND | Mettwurst
[wb] ['wurst'] <- Handgelegter Kochschinken | 125 g
[wb] ['wurst'] <- K-CLASSIC | Edelsalami
[wb] ['wurst'] <- K-CLASSIC | Edelsalami
[wb] ['wurst'] <- K-CLASSIC | Rohschinken-Würfel
[wb] ['wurst'] <- K-CLASSIC | Snack-Salami oder Mini-Kabanossi
[wb] ['wurst'] <- K-CLASSIC | Wurst-Aufschnitt
[wb] ['wurst'] <- LINDENHOF Käseaufschnitt | je 250 g
[wb] ['wurst'] <- Leberwurst oder Teewurst | 125 – 175 g
[wb] ['wurst'] <- MARTEN Salami-Sticks* | je 200 g
[wb] ['wurst'] <- Marken-Metzger Salami-Sortiment | 100 g
[wb] ['wurst'] <- Marten Knoblauchwurst 1 A | fein, mit feiner Knoblauchnote, je 100-g-
[wb] ['wurst'] <- Metten Salami-Aufschnitt | versch. Sorten, je 100-g-
[wb] ['wurst'] <- MÜHLENHOF Delikatess Frankfurter Würstchen* | je 500 g
[wb] ['wurst'] <- MÜHLENHOF Geflügel-Mortadella* | je 250 g
[wb] ['wurst'] <- MÜHLENHOF XXL Delikatess Hinterschinken* | je 350 g
[wb] ['wurst'] <- Prager Schinken | pro kg
[wb] ['wurst'] <- RADEBERGER Frühstücksschinken | je 140 g
[wb] ['wurst'] <- Reinert Schinken Nuggetz | herzhaft oder extra mager, je 150-g-Pckg. (1 kg = 13,27 €)
[wb] ['wurst'] <- STOCKMEYER Salami* | je 150 g
[wb] ['wurst'] <- Schinkenwürfel | 2 x 125 g; 3 x 50 g
[wb] ['wurst'] <- Schinkenzwiebelmettwurst | 2 x 100 g
[wb] ['wurst'] <- Serrano Reserva | 70 g
[wb] ['wurst'] <- WINDAU Mett* | je 150 g
[wb] ['wurst'] <- Wiener Würstchen XXL | 2x250-g-Packung
[wb] ['wurst'] <- Wiesenhof Geflügel Mortadella | versch. Sorten, je 100-g-Pckg. (1 kg = 11,90 €)
[wb] ['wurst'] <- Wurst-Aufschnitt | 100 g
[wb] ['wurst'] <- Zimmermann Kernrauchschinken | je 100-g-
[wb] ['zitronen'] <- Bio Zitronen | 500 g Netz
[wb] ['zitronen'] <- Kollagenpulver Zitrone | 300 g
[wb] ['zucchini'] <- Bio Zucchini | 500 g Bund
[wb] ['zucchini'] <- Bio Zucchini | Kl. II, je 500-g-Bund (1 kg = 2,22 €)
[wb] ['zwiebeln'] <- Gelbe Speisezwiebeln | Kl. II, je 1,5-kg-Netz (1 kg = 1,06 €)
[wb] ['zwiebeln'] <- Zwiebeln | 1,5 kg Netz
[wb] ['äpfel'] <- Deutsche rote Äpfel | je 1-kg-Packung
[wb] ['äpfel'] <- REWE Bio Apfel-Bananenmark | je 360-g-Glas (1 kg = 3,19 €)
[wb] ['äpfel'] <- Snack Äpfel | »Gala«, Kl. I, je 1-kg-Schale
[wb] ['äpfel'] <- Äpfel | 2 kg Beutel
[wb] ['öl'] <- Bertolli Originale Natives Olivenöl Spray | 200 ml
[wb] ['öl'] <- De Cecco Natives Olivenöl Extra | Classico, je 500-ml-Fl. (1 l = 11,98 €)
[wb] ['öl'] <- K-CLASSIC | Rapsöl
[wb] ['öl'] <- Rapso Rapsöl | 100% rein, aus kontrolliertem Anbau, je 750-ml-Fl.
[wb] ['öl'] <- Rapso Rapsöl | 750 ml
[wb] ['öl'] <- Sesam- / Erdnussöl | 250-ml-Flasche
[wb] ['öl'] <- THREPSI | Griech. Olivenöl
